Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]
SRS4060895.SRR8216130	SRS4060895.SRR8216130 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060896.SRR8216129	SRS4060896.SRR8216129 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060897.SRR8216128	SRS4060897.SRR8216128 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060898.SRR8216127	SRS4060898.SRR8216127 (Source)	Insect	V3-V4	Larvae internal
SRS4060899.SRR8216126	SRS4060899.SRR8216126 (Source)	Insect	V3-V4	Larvae internal
SRS4060900.SRR8216125	SRS4060900.SRR8216125 (Source)	Insect	V3-V4	Larvae internal
SRS4060901.SRR8216124	SRS4060901.SRR8216124 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060902.SRR8216123	SRS4060902.SRR8216123 (Source)	Insect	V3-V4	Adult internal
SRS4060903.SRR8216122	SRS4060903.SRR8216122 (Source)	Insect	V3-V4	Adult internal
SRS4060904.SRR8216121	SRS4060904.SRR8216121 (Source)	Insect	V3-V4	Adult internal
SRS4060905.SRR8216120	SRS4060905.SRR8216120 (Source)	Insect	V3-V4	Adult internal
SRS4060906.SRR8216119	SRS4060906.SRR8216119 (Source)	Insect	V3-V4	Adult cuticle
SRS4060907.SRR8216118	SRS4060907.SRR8216118 (Source)	Insect	V3-V4	Adult internal
SRS4060908.SRR8216117	SRS4060908.SRR8216117 (Source)	Insect	V3-V4	Adult cuticle
SRS4060909.SRR8216116	SRS4060909.SRR8216116 (Source)	Insect	V3-V4	Adult internal
SRS4060910.SRR8216115	SRS4060910.SRR8216115 (Source)	Insect	V3-V4	Adult cuticle
SRS4060911.SRR8216114	SRS4060911.SRR8216114 (Source)	Insect	V3-V4	Adult cuticle
SRS4060912.SRR8216113	SRS4060912.SRR8216113 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060913.SRR8216112	SRS4060913.SRR8216112 (Source)	Insect	V3-V4	Larvae internal
SRS4060914.SRR8216111	SRS4060914.SRR8216111 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060915.SRR8216110	SRS4060915.SRR8216110 (Source)	Insect	V3-V4	Larvae internal
SRS4060916.SRR8216109	SRS4060916.SRR8216109 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060917.SRR8216108	SRS4060917.SRR8216108 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060918.SRR8216107	SRS4060918.SRR8216107 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060919.SRR8216106	SRS4060919.SRR8216106 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060920.SRR8216105	SRS4060920.SRR8216105 (Source)	Insect	V3-V4	Larvae internal
SRS4060921.SRR8216104	SRS4060921.SRR8216104 (Source)	Insect	V3-V4	Larvae internal
