Participant_Id	Country [ENVO_00000009]	Elevation [ENVO_00000176]	Environment (biome) [ENVO_00000428]	Habitat [ENVO_01000739]	Title [OBI_0001622]
700016631 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016634 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016637 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016640 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016643 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016646 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016649 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016652 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016655 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016658 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016661 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016664 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016921 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016929 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016933 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016935 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016937 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016939 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016941 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016944 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016946 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016948 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700016958 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021687 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021689 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021691 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021697 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021699 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021826 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021828 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021830 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021856 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021860 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021862 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021864 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021866 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021868 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021870 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021872 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021876 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021878 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021880 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
700021884 (Source)	USA	97	urban biome	human-associated habitat	Structure, function and diversity of the healthy human microbiome (V13)
