Sample_Id	participant_repeated_measure_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample collection device or method [OBI_0003070]	Sample type [OBI_0100051]
SRR7039338	ID1_67 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039339	ID1_68 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039340	ID1_61 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039341	ID1_62 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039342	ID1_63 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039343	ID1_64 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039344	ID1_69 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039345	ID1_70 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039346	ID1_169 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039347	ID1_170 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039348	ID1_163 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039349	ID1_164 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039350	ID1_161 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039351	ID1_162 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039352	ID1_167 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039353	ID1_168 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039354	ID1_165 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039355	ID1_166 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039356	ID1_6 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039357	ID1_52 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039358	ID1_51 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039359	ID1_54 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039360	ID1_53 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039361	ID1_56 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039362	ID1_55 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039363	ID1_58 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039364	ID1_57 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039365	ID1_60 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039366	ID1_59 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039367	ID1_5 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039368	ID1_96 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039369	ID1_94 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039370	ID1_180 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039371	ID1_179 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039372	ID1_172 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039373	ID1_171 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039374	ID1_174 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039375	ID1_173 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039376	ID1_176 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039377	ID1_175 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039378	ID1_178 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039379	ID1_177 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039380	ID1_241 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039381	ID1_93 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039382	ID1_43 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039383	ID1_44 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039384	ID1_41 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039385	ID1_42 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039386	ID1_47 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039387	ID1_48 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039388	ID1_45 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039389	ID1_46 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039390	ID1_49 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039391	ID1_50 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039392	ID1_185 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039393	ID1_186 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039394	ID1_187 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039395	ID1_188 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039396	ID1_181 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039397	ID1_182 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039398	ID1_183 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039399	ID1_184 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039400	ID1_88 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039401	ID1_189 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039402	ID1_190 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039403	ID1_85 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039404	ID1_109 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039405	ID1_110 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039406	ID1_105 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039407	ID1_106 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039408	ID1_107 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039409	ID1_108 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039410	ID1_101 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039411	ID1_102 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039412	ID1_103 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039413	ID1_104 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039414	ID1_38 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039415	ID1_37 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039416	ID1_36 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039417	ID1_35 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
