Sample_Id	participant_repeated_measure_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample collection device or method [OBI_0003070]	Sample type [OBI_0100051]
SRR7044494	ID3_229 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044495	ID3_218 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044496	ID3_215 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044497	ID3_216 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044498	ID3_58 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044499	ID3_65 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044500	ID3_169 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044501	ID3_170 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044502	ID3_165 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044503	ID3_166 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044504	ID3_167 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044505	ID3_168 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044506	ID3_161 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044507	ID3_162 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044508	ID3_163 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044509	ID3_164 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044510	ID3_20 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044511	ID3_19 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044512	ID3_14 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044513	ID3_13 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044514	ID3_12 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044515	ID3_11 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044516	ID3_18 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044517	ID3_17 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044518	ID3_16 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044519	ID3_15 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044520	ID3_192 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044521	ID3_191 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044522	ID3_194 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044523	ID3_193 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044524	ID3_196 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044525	ID3_195 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044526	ID3_198 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044527	ID3_197 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7044528	ID3_200 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044529	ID3_199 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044530	ID3_219 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044531	ID3_220 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Stored in alcohol	Stool
SRR7044532	ID3_59 (Source)	ID3 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046217	ID4_43 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046218	ID4_44 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046219	ID4_41 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046220	ID4_42 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046221	ID4_47 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046222	ID4_48 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046223	ID4_45 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046224	ID4_46 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046225	ID4_49 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046226	ID4_50 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046227	ID4_169 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046228	ID4_170 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046229	ID4_163 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046230	ID4_164 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046231	ID4_161 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046232	ID4_162 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046233	ID4_167 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046234	ID4_168 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046235	ID4_165 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046236	ID4_166 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046237	ID4_255 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046238	ID4_256 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046239	ID4_257 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046240	ID4_258 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046241	ID4_251 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046242	ID4_252 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046243	ID4_253 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046244	ID4_254 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046245	ID4_259 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046246	ID4_260 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046247	ID4_3 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046248	ID4_100 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046249	ID4_87 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046250	ID4_38 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046251	ID4_37 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046252	ID4_36 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046253	ID4_35 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046254	ID4_34 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046255	ID4_33 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046256	ID4_32 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046257	ID4_31 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046258	ID4_93 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046259	ID4_40 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046260	ID4_39 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046261	ID4_180 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046262	ID4_179 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046263	ID4_172 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046264	ID4_171 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046265	ID4_174 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046266	ID4_173 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046267	ID4_176 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046268	ID4_175 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046269	ID4_178 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046270	ID4_177 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046271	ID4_244 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046272	ID4_243 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046273	ID4_242 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046274	ID4_241 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046275	ID4_248 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046276	ID4_247 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046277	ID4_246 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046278	ID4_245 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046279	ID4_10 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046280	ID4_250 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046281	ID4_249 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046282	ID4_9 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046283	ID4_88 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046284	ID4_21 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046285	ID4_22 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046286	ID4_23 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046287	ID4_24 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046288	ID4_25 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046289	ID4_26 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046290	ID4_27 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046291	ID4_28 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046292	ID4_29 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046293	ID4_30 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046294	ID4_185 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046295	ID4_186 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046296	ID4_187 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046297	ID4_188 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046298	ID4_181 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046299	ID4_182 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046300	ID4_183 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046301	ID4_184 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046302	ID4_189 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046303	ID4_190 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046304	ID4_8 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046305	ID4_7 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046306	ID4_6 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046307	ID4_5 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046308	ID4_109 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046309	ID4_110 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046310	ID4_2 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046311	ID4_1 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046312	ID4_105 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046313	ID4_106 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046314	ID4_107 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046315	ID4_108 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046316	ID4_101 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046317	ID4_102 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046318	ID4_103 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046319	ID4_104 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046320	ID4_20 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046321	ID4_19 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046322	ID4_16 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046323	ID4_15 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046324	ID4_18 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046325	ID4_17 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046326	ID4_12 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046327	ID4_11 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046328	ID4_14 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046329	ID4_13 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046330	ID4_194 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046331	ID4_193 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046332	ID4_192 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046333	ID4_191 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046334	ID4_198 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046335	ID4_197 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046336	ID4_196 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046337	ID4_195 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046338	ID4_266 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046339	ID4_265 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046340	ID4_200 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046341	ID4_199 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046342	ID4_262 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046343	ID4_261 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046344	ID4_264 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046345	ID4_263 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046346	ID4_120 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046347	ID4_119 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046348	ID4_114 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046349	ID4_113 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046350	ID4_112 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046351	ID4_111 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046352	ID4_118 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046353	ID4_117 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046354	ID4_116 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046355	ID4_115 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046356	ID4_89 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046357	ID4_90 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046358	ID4_219 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046359	ID4_220 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046360	ID4_85 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046361	ID4_86 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046362	ID4_83 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046363	ID4_84 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046364	ID4_81 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046365	ID4_82 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046366	ID4_211 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046367	ID4_212 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046368	ID4_213 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046369	ID4_214 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046370	ID4_215 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046371	ID4_216 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046372	ID4_217 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046373	ID4_218 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046374	ID4_127 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046375	ID4_128 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046376	ID4_125 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046377	ID4_126 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046378	ID4_123 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046379	ID4_124 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046380	ID4_121 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046381	ID4_122 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046382	ID4_95 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046383	ID4_129 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046384	ID4_130 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046385	ID4_80 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046386	ID4_79 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046387	ID4_96 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046388	ID4_74 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046389	ID4_73 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046390	ID4_72 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046391	ID4_71 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046392	ID4_78 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046393	ID4_77 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046394	ID4_76 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046395	ID4_75 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046396	ID4_98 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046397	ID4_97 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046398	ID4_92 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046399	ID4_208 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046400	ID4_207 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046401	ID4_206 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046402	ID4_205 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046403	ID4_204 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046404	ID4_203 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046405	ID4_202 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046406	ID4_201 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046407	ID4_228 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046408	ID4_210 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046409	ID4_209 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046410	ID4_136 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046411	ID4_135 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046412	ID4_138 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046413	ID4_137 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046414	ID4_132 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046415	ID4_131 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046416	ID4_134 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046417	ID4_133 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046418	ID4_227 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046419	ID4_229 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046420	ID4_140 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046421	ID4_139 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046422	ID4_65 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046423	ID4_66 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046424	ID4_67 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046425	ID4_68 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046426	ID4_61 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046427	ID4_62 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046428	ID4_63 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7046429	ID4_64 (Source)	ID4 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
